section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,119,1749381240249922662,1749381242009906662,1759,true,0.504289,0.385212
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,120,1749381242089931662,1749381242370044662,280,true,0.666486,0.122939
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,121,1749381242537927662,1749381242737936662,200,true,0.79887,0.047684
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,122,1749381242765922662,1749381243157923662,392,true,0.891933,0.039722
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,123,1749381243185936662,1749381243377892662,191,false,0.751973,-0.054702
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,124,1749381243405924662,1749381243729936662,324,false,0.632875,-0.157615
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,125,1749381243749949662,1749381244690009662,940,true,0.686561,0.062326
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,126,1749381244725931662,1749381245273942662,548,true,0.527682,0.31571
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,127,1749381245461955662,1749381245645944662,183,true,0.589056,0.328243
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,128,1749381245870122662,1749381246497897662,627,true,0.757861,0.4303
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,129,1749381246629921662,1749381246697951662,68,true,0.551205,0.388495
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,130,1749381246725937662,1749381247017952662,292,true,0.454092,0.36644
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,131,1749381247117911662,1749381247333948662,216,true,0.448493,0.79702
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,132,1749381247641910662,1749381247745947662,104,true,0.540207,0.131622
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,133,1749381247790049662,1749381248670052662,880,true,0.362719,0.295243
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,134,1749381249081916662,1749381249178011662,96,false,0.460262,1.398126
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,135,1749381249201900662,1749381249345914662,144,false,0.573514,1.414396
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,136,1749381249601873662,1749381249641939662,40,true,0.472693,0.25304
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,137,1749381249710056662,1749381251089879662,1379,true,0.629152,0.169696
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,138,1749381251441938662,1749381251505906662,63,false,0.692302,1.400255
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,140,1749381251969928662,1749381252297974662,328,true,0.413474,0.291598
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,141,1749381252469928662,1749381252565977662,96,true,0.494462,0.377033
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,142,1749381252781894662,1749381256713934662,3932,true,0.484534,0.313033
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,143,1749381256741897662,1749381257417936662,676,true,0.333389,0.375677
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,144,1749381257441995662,1749381257849910662,407,true,0.413017,0.305651
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,145,1749381257877877662,1749381258409922662,532,true,0.301415,0.408163
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,149,1749381259001927662,1749381260041922662,1039,false,5.223454,-5.498296
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,150,1749381260373913662,1749381260545915662,172,false,0.589871,-0.170541
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,151,1749381260585910662,1749381260745901662,159,true,0.451005,0.150101
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,152,1749381260777961662,1749381260917890662,139,false,0.416649,-0.069281
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,153,1749381261170032662,1749381261217895662,47,false,3.327805,-2.854509
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,154,1749381261257972662,1749381261761912662,503,false,5.657152,-5.754944
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,155,1749381261809905662,1749381262017893662,207,false,5.60466,-4.150856
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,156,1749381262209913662,1749381262378016662,168,true,0.452627,-0.00675
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,157,1749381262405927662,1749381262590008662,184,true,0.559986,0.115163
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,158,1749381262617883662,1749381263069939662,452,true,0.456538,0.271776
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,159,1749381263301884662,1749381263361951662,60,true,0.49973,0.326569
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,160,1749381263557923662,1749381264185934662,628,true,0.511274,0.288921
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,161,1749381264437954662,1749381264825929662,387,true,0.514034,0.291405
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,162,1749381264845922662,1749381265309921662,463,true,0.585128,0.282726
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,163,1749381265437937662,1749381267165930662,1727,true,0.534899,0.303904
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,164,1749381267201880662,1749381267597958662,396,true,0.277635,0.362355
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,165,1749381267638034662,1749381267949883662,311,true,0.34351,0.47758
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,166,1749381267985926662,1749381268397895662,411,true,0.578852,0.436157
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,167,1749381268437882662,1749381268809964662,372,true,0.361205,0.348804
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,168,1749381268822009662,1749381269033903662,211,true,0.504281,0.350523
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,169,1749381269229912662,1749381269733893662,503,true,0.323566,0.349791
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,171,1749381270109969662,1749381271365955662,1255,true,0.612133,-0.010185
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,172,1749381271405943662,1749381271598088662,192,true,0.425064,0.175052
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,173,1749381271629965662,1749381272366517662,736,true,0.543868,0.23001
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,174,1749381272397914662,1749381273089944662,692,true,0.597705,0.538931
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,175,1749381273129904662,1749381273290054662,160,true,0.545191,0.838566
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,176,1749381273317897662,1749381273533953662,216,true,0.449713,0.897155
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,177,1749381273725895662,1749381274745946662,1020,false,0.504225,1.344998
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,178,1749381274801878662,1749381275241910662,440,false,0.646894,1.521497
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,179,1749381275597889662,1749381275685947662,88,true,0.588226,0.414956
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,180,1749381275717886662,1749381276397972662,680,true,0.456006,0.315789
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,181,1749381276425989662,1749381276749904662,323,true,0.586196,0.287303
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,182,1749381276769927662,1749381277077993662,308,true,0.471864,0.298449
f42a875f-092b-427d-b12d-52c489379fdf,9fd1a384-8877-4a65-9277-6874f0eb9343,183,1749381277197942662,1749381277309899662,111,true,0.453605,0.357978
